#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457292.6025980869 	 1.0870000000 	 -0.4619475269 	 6.9268912722 	 861.4514158422 	 602.7269049850 
2457292.6032114890 	 1.0860000000 	 -0.4454062921 	 7.9533262275 	 875.5491701797 	 602.7761940064 
2457292.6038364647 	 1.0840000000 	 -0.4334711885 	 6.7097794917 	 867.9808574707 	 602.7871657378 
2457292.6044614404 	 1.0830000000 	 -0.4254297133 	 7.6944020383 	 858.6386578031 	 602.8343155532 
2457292.6050864155 	 1.0820000000 	 -0.4197891283 	 4.8866103606 	 884.1043003803 	 602.8378311569 
2457292.6056998177 	 1.0810000000 	 -0.4149607957 	 5.7870840074 	 870.4322393326 	 602.5516581941 
2457292.6063247933 	 1.0800000000 	 -0.4098271623 	 2.8268994093 	 894.2614591915 	 602.8082068046 
2457292.6069497690 	 1.0790000000 	 -0.4039515761 	 8.1273162343 	 884.4988796622 	 602.6869991988 
2457292.6075747442 	 1.0780000000 	 -0.3974490002 	 7.6825877987 	 897.5849774783 	 602.8724136443 
2457292.6081997198 	 1.0770000000 	 -0.3906664594 	 4.8188216313 	 911.2991179854 	 602.7068231077 
2457292.6088131219 	 1.0750000000 	 -0.3839216490 	 3.4428356430 	 890.4973016054 	 602.6935223770 
2457292.6094380976 	 1.0740000000 	 -0.3774130727 	 6.8408145665 	 884.2586154856 	 602.7491782691 
2457292.6100630728 	 1.0730000000 	 -0.3712774795 	 6.0670340690 	 885.4817137456 	 602.6263899115 
2457292.6106880484 	 1.0720000000 	 -0.3656623292 	 5.4830633695 	 895.2575552312 	 602.7576231978 
2457292.6113014505 	 1.0710000000 	 -0.3607187596 	 6.9403773794 	 885.0334432981 	 602.6770312612 
2457292.6119264257 	 1.0700000000 	 -0.3565085090 	 7.4618061396 	 865.9626621711 	 602.6173836201 
2457292.6125514014 	 1.0690000000 	 -0.3528995358 	 8.7456087061 	 867.7457764990 	 602.8090643684 
2457292.6131763770 	 1.0680000000 	 -0.3495285886 	 6.9136882657 	 878.2454309207 	 602.7857040613 
2457292.6137897787 	 1.0670000000 	 -0.3458565209 	 7.7382234380 	 898.7949087058 	 602.7929232772 
2457292.6144147543 	 1.0660000000 	 -0.3413119438 	 6.0014472394 	 892.4280968409 	 602.7594125850 
2457292.6150397300 	 1.0650000000 	 -0.3354561163 	 7.7944650657 	 876.9170055636 	 602.7814574126 
2457292.6156647056 	 1.0640000000 	 -0.3281242339 	 7.0157842975 	 885.2309397043 	 602.6973246640 
2457292.6162781073 	 1.0640000000 	 -0.3194614414 	 6.9091820596 	 878.5147541869 	 602.7394539212 
2457292.6169030829 	 1.0630000000 	 -0.3098415526 	 7.1842263890 	 877.5375376963 	 602.6591321281 
2457292.6175280581 	 1.0620000000 	 -0.2997148716 	 5.5212905328 	 871.2593230097 	 602.6446866896 
2457292.6181414602 	 1.0610000000 	 -0.2894755160 	 6.0743154901 	 877.9420595559 	 602.7247135440 
2457292.6187664359 	 1.0600000000 	 -0.2794214867 	 6.0025706515 	 863.7995360686 	 602.6542935407 
2457292.6193914111 	 1.0590000000 	 -0.2697956080 	 6.8347685669 	 849.6548632615 	 602.6596540017 
2457292.6200163867 	 1.0580000000 	 -0.2608359833 	 7.0319914528 	 840.5902398318 	 602.6695083220 
2457292.6206297884 	 1.0570000000 	 -0.2527736060 	 6.5508398746 	 849.5728414727 	 602.6027462914 
2457292.6212547640 	 1.0570000000 	 -0.2457891945 	 7.0585290449 	 846.0095034288 	 602.6862409639 
2457292.6218797397 	 1.0560000000 	 -0.2399800947 	 4.7444567654 	 843.6360240884 	 602.6795043197 
2457292.6225047149 	 1.0550000000 	 -0.2353744564 	 2.4014202390 	 867.0219519650 	 602.5142309440 
2457292.6231296905 	 1.0540000000 	 -0.2319616418 	 2.4201247703 	 851.6096095519 	 602.5159958206 
2457292.6237430922 	 1.0530000000 	 -0.2296999031 	 5.1556383617 	 861.8525336242 	 602.6726178369 
2457292.6243680678 	 1.0530000000 	 -0.2284952187 	 1.9707308495 	 880.2630926760 	 602.6313546598 
2457292.6249930435 	 1.0520000000 	 -0.2282020323 	 6.9492606993 	 861.6779995341 	 602.7610499124 
2457292.6256180187 	 1.0510000000 	 -0.2286745272 	 5.7118233861 	 859.8224999733 	 602.6790553816 
2457292.6262314208 	 1.0500000000 	 -0.2298575544 	 4.9091586076 	 872.0937802724 	 602.6222467251 
2457292.6268563960 	 1.0500000000 	 -0.2318291087 	 6.2331906206 	 856.0400878884 	 602.5718667416 
2457292.6274813716 	 1.0490000000 	 -0.2347469680 	 1.9289545915 	 871.4367613411 	 602.4933014258 
2457292.6281063473 	 1.0480000000 	 -0.2387216593 	 1.7509301825 	 884.3097044541 	 602.4145297189 
2457292.6287197489 	 1.0470000000 	 -0.2437049719 	 2.0231907479 	 867.6375982162 	 602.7160394526 
2457292.6293447246 	 1.0470000000 	 -0.2494693231 	 2.0605194965 	 854.7031162572 	 602.5897265908 
2457292.6299696998 	 1.0460000000 	 -0.2556814541 	 1.9721343560 	 864.8074607801 	 602.7189076795 
2457292.6305946754 	 1.0450000000 	 -0.2620062009 	 2.3341514551 	 854.0920923195 	 602.6677276069 
2457292.6312196506 	 1.0450000000 	 -0.2681825852 	 3.2597564347 	 848.9334255209 	 602.5766871072 
2457292.6318330527 	 1.0440000000 	 -0.2740566315 	 2.5023750209 	 851.8030524305 	 602.5764493747 
2457292.6324580279 	 1.0440000000 	 -0.2795993631 	 1.9334160949 	 868.1600353060 	 602.5398053639 
2457292.6330830036 	 1.0430000000 	 -0.2849201594 	 2.1311399240 	 871.0424877042 	 602.5631052874 
2457292.6337079788 	 1.0420000000 	 -0.2902541634 	 1.8533504320 	 868.0676752410 	 602.5561979620 
2457292.6343213809 	 1.0420000000 	 -0.2958877515 	 1.6796127729 	 865.9561394697 	 602.2127018246 
2457292.6349463561 	 1.0410000000 	 -0.3020211586 	 2.0142310561 	 852.8238040122 	 602.5807166562 
2457292.6355713317 	 1.0410000000 	 -0.3086310094 	 2.1288342632 	 864.7133824639 	 602.4311893756 
2457292.6361963069 	 1.0400000000 	 -0.3154236513 	 1.7520980581 	 865.8119169526 	 602.7667344798 
2457292.6368097086 	 1.0390000000 	 -0.3219159753 	 3.0413918369 	 853.7903114698 	 602.6621452944 
2457292.6374346842 	 1.0390000000 	 -0.3276187355 	 1.9162825285 	 856.9874546942 	 602.5247132372 
2457292.6380596594 	 1.0380000000 	 -0.3322112327 	 2.0735872531 	 861.3430212195 	 602.5181175510 
2457292.6386846351 	 1.0380000000 	 -0.3356453635 	 1.7912994684 	 875.4081360831 	 602.5994220287 
2457292.6392980367 	 1.0370000000 	 -0.3381387766 	 1.9642501747 	 915.0774789942 	 602.7208071679 
2457292.6399230123 	 1.0370000000 	 -0.3401052771 	 2.0274202507 	 888.1480255063 	 602.6794569206 
2457292.6405479875 	 1.0360000000 	 -0.3420768124 	 2.0451110693 	 880.7534763439 	 602.5904287250 
2457292.6411729632 	 1.0360000000 	 -0.3446519179 	 2.0046667993 	 881.1806490661 	 602.3629999932 
2457292.6417979384 	 1.0360000000 	 -0.3484457926 	 1.8811918377 	 868.5868873999 	 602.6190490669 
2457292.6424113400 	 1.0350000000 	 -0.3540000201 	 1.9485120980 	 869.4424360197 	 602.6574457207 
2457292.6430363157 	 1.0350000000 	 -0.3616225058 	 4.6800637400 	 855.2364747986 	 602.6448698088 
2457292.6436612909 	 1.0340000000 	 -0.3712014321 	 2.2692525845 	 849.2558252249 	 602.5212339945 
2457292.6442862665 	 1.0340000000 	 -0.3820997574 	 1.6414595521 	 858.8870592966 	 602.5091231714 
2457292.6448996682 	 1.0330000000 	 -0.3932505955 	 2.4200601431 	 843.2513011261 	 602.4373812695 
2457292.6455246434 	 1.0330000000 	 -0.4034630437 	 1.6127527347 	 844.8643236433 	 602.5292131977 
2457292.6461496190 	 1.0330000000 	 -0.4118242706 	 5.4079557651 	 819.4598548352 	 602.6642801948 
2457292.6467630207 	 1.0320000000 	 -0.4180023407 	 3.9974782843 	 819.9964133664 	 602.4522937801 
2457292.6473879959 	 1.0320000000 	 -0.4223158829 	 2.1792899622 	 822.5109680829 	 602.5256926655 
2457292.6480129715 	 1.0320000000 	 -0.4255445684 	 5.4588259545 	 818.8449930832 	 602.4795525760 
2457292.6486379467 	 1.0310000000 	 -0.4285867630 	 6.1088410800 	 829.2559381982 	 602.6780322446 
2457292.6492629219 	 1.0310000000 	 -0.4321112135 	 6.0319852624 	 818.8878440576 	 602.4951950040 
2457292.6498878975 	 1.0310000000 	 -0.4363656248 	 4.7178273562 	 817.4442414310 	 602.4762412576 
